Alliance,Association,CaCode,MCVAboveAlliance,SumOfCountOfSurveyID,Inactivated,CaCodeUpdate,AllianceUpdate,AssociationUpdate,InactivationType,LineageNewCaCode
Acer macrophyllum – Alnus rubra,Alnus rubra / Rubus spectabilis – Sambucus racemosa,61.410.06,,4,FALSE,,,,,
Acer macrophyllum – Alnus rubra,Alnus rubra / Salix lasiolepis – Rubus spp.,61.410.05,,8,FALSE,,,,,
Acer macrophyllum – Alnus rubra,Umbellularia californica – Acer macrophyllum,74.100.10,,8,FALSE,,,,,
Acer macrophyllum – Alnus rubra [pending],,61.460.00,,1,FALSE,,,,,
Acer negundo,,61.440.00,,2,FALSE,,,,,
Acer negundo,Acer negundo / (Rubus ursinus),61.440.02,,19,FALSE,,,,,
Achnatherum hymenoides,,41.120.00,,1,FALSE,,,,,
Achnatherum hymenoides,Achnatherum hymenoides – Oenothera deltoides,41.120.02,,6,FALSE,,,,,
Achnatherum speciosum,,41.090.00,,7,FALSE,,,,,
Achnatherum speciosum,Achnatherum speciosum Shrub,41.090.01,,2,FALSE,,,,,
Adenostoma fasciculatum,,,,82,FALSE,37.101.00,,,,
Adenostoma fasciculatum,,37.101.00,,205,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum,,,7,FALSE,37.101.16,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum,37.101.16,,61,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Arctostaphylos glandulosa – Ceanothus jepsonii),37.101.15,,5,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Arctostaphylos manzanita),37.101.19,,6,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Ceanothus crassifolius),37.101.08,,6,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Ceanothus cuneatus),,,25,FALSE,37.101.10,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Ceanothus cuneatus),37.101.10,,8,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Ceanothus tomentosus),37.101.11,,6,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Eriogonum fasciculatum – Salvia mellifera),37.102.03,,2,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Lotus scoparius – Eriodictyon spp.),37.101.17,,2,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – (Lotus scoparius) disturbance,37.101.17,,20,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – Arctostaphylos glandulosa – Ceanothus jepsonii / Calamagrostis ophitidis,37.101.32,,5,TRUE,,,,Lumped,37.101.15
Adenostoma fasciculatum,Adenostoma fasciculatum – Arctostaphylos manzanita,37.101.19,,6,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – Arctostaphylos stanfordiana / Salvia sonomensis,37.101.35,,14,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – Diplacus aurantiacus,37.101.12,,21,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – Eriogonum fasciculatum,37.101.14,,4,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – Hesperoyucca whipplei,37.101.04,,1,TRUE,,,,Lumped,32.040.22
Adenostoma fasciculatum,Adenostoma fasciculatum – Heteromeles arbutifolia / Melica torreyana,37.101.28,,3,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum – Salvia mellifera / mixed shrub,37.102.03,,8,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum / Selaginella bigelovii,,,9,FALSE,37.101.30,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum Serpentine,37.101.15,,3,FALSE,,,,,
Adenostoma fasciculatum,Adenostoma fasciculatum Southern Maritime,37.101.38,,16,FALSE,,,,,
Adenostoma fasciculatum – Salvia mellifera,Adenostoma fasciculatum – Salvia mellifera,37.102.02,,1,FALSE,,,,,
Adenostoma fasciculatum – Salvia spp.,,37.110.00,,8,FALSE,,,,,
Adenostoma fasciculatum – Salvia spp.,Adenostoma fasciculatum – Salvia apiana – Artemisia californica,37.103.02,,2,FALSE,,,,,
Adenostoma fasciculatum – Salvia spp.,Adenostoma fasciculatum – Salvia mellifera,,,11,FALSE,37.102.02,,,,
Adenostoma fasciculatum – Salvia spp.,Adenostoma fasciculatum – Salvia mellifera,37.102.02,,18,FALSE,,,,,
Adenostoma fasciculatum – Xylococcus bicolor,,37.109.00,,6,FALSE,,,,,
Adenostoma fasciculatum – Xylococcus bicolor,Adenostoma fasciculatum – Xylococcus bicolor,37.109.01,,27,FALSE,,,,,
Adenostoma fasciculatum – Xylococcus bicolor,Adenostoma fasciculatum – Xylococcus bicolor – Ceanothus crassifolius,37.109.05,,11,FALSE,,,,,
Adenostoma fasciculatum – Xylococcus bicolor,Adenostoma fasciculatum – Xylococcus bicolor – Ceanothus tomentosus,37.109.02,,27,FALSE,,,,,
Adenostoma fasciculatum – Xylococcus bicolor,Adenostoma fasciculatum – Xylococcus bicolor – Ceanothus verrucosus,37.109.08,,11,FALSE,,,,,
Adenostoma fasciculatum – Xylococcus bicolor,Adenostoma fasciculatum – Xylococcus bicolor – Pickeringia montana,,,10,FALSE,,,,,
Adenostoma sparsifolium,,,,1,FALSE,37.501.00,,,,
Adenostoma sparsifolium,,37.501.00,,7,FALSE,,,,,
Adenostoma sparsifolium,Adenostoma sparsifolium – Adenostoma fasciculatum – Arctostaphylos glauca,37.503.05,,1,FALSE,,,,,
Adenostoma sparsifolium,Adenostoma sparsifolium – Adenostoma fasciculatum – Ceanothus greggii,37.503.02,,3,TRUE,,,,Lumped,37.501.09
Adenostoma sparsifolium,Adenostoma sparsifolium – Adenostoma fasciculatum – Cylindropuntia californica var. parkeri,37.503.06,,1,FALSE,,,,,
Adenostoma sparsifolium,Adenostoma sparsifolium – Artemisia tridentata,37.501.02,,1,FALSE,,,,,
Adenostoma sparsifolium,Adenostoma sparsifolium – Ericameria linearifolia – Eriogonum fasciculatum – Opuntia basilaris,37.501.06,,2,FALSE,,,,,
Adenostoma sparsifolium,Adenostoma sparsifolium – Eriogonum fasciculatum – Lotus scoparius,37.501.07,,4,FALSE,,,,,
Aegilops triuncialis,Aegilops triuncialis – Hemizonia congesta,42.003.01,,3,FALSE,,,,,
Aesculus californica,,,,11,FALSE,75.100.00,,,,
Aesculus californica,,75.100.00,,52,FALSE,,,,,
Aesculus californica,Aesculus californica,75.100.03,,28,FALSE,,,,,
Aesculus californica,Aesculus californica – Umbellularia californica,75.100.07,,14,FALSE,,,,,
Aesculus californica,Aesculus californica / (Fraxinus dipetala – Ptelea crenulata),75.100.08,,5,FALSE,,,,,
Aesculus californica,Aesculus californica / Toxicodendron diversilobum / moss,,,4,FALSE,75.100.01,,,,
Aesculus californica,Aesculus californica / Toxicodendron diversilobum / Moss,75.100.01,,57,FALSE,,,,,
Agastache urticifolia - Geranium viscosissimum - Pteridium aquilinum,Wyethia mollis – Balsamorhiza sagittata,41.289.01,,17,FALSE,,,,,
Agastache urticifolia – Geranium viscosissimum – Pteridium aquilinum,Wyethia mollis – Balsamorhiza sagittata,41.289.01,,4,FALSE,,,,,
Agave deserti,,33.075.00,,4,FALSE,,,,,
Agave deserti,Agave deserti – Ambrosia salsola (wash and terrace),33.075.01,,4,FALSE,,,,,
Agave deserti,Agave deserti – Yucca schidigera,33.075.02,,4,FALSE,,,,,
Agropyron cristatum – Bromus inermis – Poa pratensis,,42.030.00,,2,FALSE,,,,,
Agropyron cristatum – Bromus inermis – Poa pratensis,Agropyron cristatum,42.030.01,,1,FALSE,,,,,
Agropyron cristatum – Bromus inermis – Poa pratensis,Bromus inermis – (Pascopyrum smithii),42.030.02,,2,FALSE,,,,,
Agropyron cristatum - Bromus inermis - Poa pratensis Ruderal Grassland,"Agropyron cristatum - (Pascopyrum smithii, Hesperostipa comata)",42.030.01,,1,FALSE,,,,,
"Agrostis (gigantea, stolonifera) – Festuca arundinacea",Festuca arundinacea,45.106.05,,1,FALSE,,,,,
Allenrolfea occidentalis,,36.120.00,,37,FALSE,,,,,
Allenrolfea occidentalis,Allenrolfea occidentalis,36.120.04,,21,TRUE,,,,Split,"36.120.08, 36.120.07"
Allenrolfea occidentalis,Allenrolfea occidentalis,36.120.04,,1,TRUE,,,,Split,"36.120.08, 36.120.07"
Allenrolfea occidentalis,Allenrolfea occidentalis – Sporobolus airoides,36.120.03,,21,TRUE,,,,Lumped,41.010.03
Allenrolfea occidentalis,Allenrolfea occidentalis – Suaeda moquinii,36.120.02,,7,FALSE,,,,,
Allenrolfea occidentalis,Allenrolfea occidentalis / (Frankenia salina – Centromadia spp.),36.120.07,,4,FALSE,,,,,
Allenrolfea occidentalis,Allenrolfea occidentalis / Distichlis spicata,36.120.01,,22,FALSE,,,,,
Allenrolfea occidentalis,Allenrolfea occidentalis / Sparse,36.120.08,,12,FALSE,,,,,
Allium spp. – Streptanthus spp. – Hesperolinon spp. Serpentinite,"Allium falcifolium – Eriogonum luteolum – Streptanthus (batrachopus, morrisonii)",42.640.04,,8,FALSE,,,,,
Allium spp. – Streptanthus spp. – Hesperolinon spp. Serpentinite,Streptanthus glandulosus – Dudleya abramsii / Lichen – Moss,42.640.01,,22,FALSE,,,,,
Allium spp. – Streptanthus spp. – Hesperolinon spp. Serpentinite Sparse,Eriogonum luteolum – Streptanthus morrisonii,43.410.01,,7,TRUE,,,,Merged,42.640.04
Alnus incana – Alnus viridis,Alnus incana,63.210.01,,27,FALSE,,,,,
Alnus rhombifolia,,,,1,FALSE,61.420.00,,,,
Alnus rhombifolia,,61.420.00,,63,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia,61.420.10,,20,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia – Acer macrophyllum,61.420.03,,14,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia – Platanus racemosa,61.420.11,,4,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia – Salix laevigata,61.420.13,,2,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia – Umbellularia californica – (Quercus chrysolepis),61.420.32,,7,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia / Carex (nudata),61.420.24,,16,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia / Carex nudata,61.420.24,,10,FALSE,,,,,
Alnus rhombifolia,Alnus rhombifolia / Salix exigua – (Rosa californica),61.420.18,,1,FALSE,,,,,
,,,,122,FALSE,,,,,
,,,Arid West freshwater emergent marsh,11,FALSE,,,,,
,,,Arid West Interior Freshwater Marsh Group,1,FALSE,,,,,
,,,Built-up Mapping Unit,1,FALSE,,,,,
,,,California Annual and Perennial Grassland,138,FALSE,,,,,
,,,California annual and perennial grassland Macrogroup,6,FALSE,,,,,
,,,California annual herb / grass,5,FALSE,,,,,
,,,California annual herb/grass,21,FALSE,,,,,
,,,California annual herb/grass group,11,FALSE,,,,,
,,,California Chaparral,8,FALSE,,,,,
,,,California Chaparral Macrogroup,4,FALSE,,,,,
,,,California Perennial Grassland,16,FALSE,,,,,
,,,Californian Annual Grassland & Forb Meadow,28,FALSE,,,,,
,,,Californian broadleaf forest and woodland,4,FALSE,,,,,
,,,"Californian Cliff, Scree & Rock Vegetation",26,FALSE,,,,,
,,,Californian Coastal-Foothill Seral Scrub,1,FALSE,,,,,
,,,Californian Mesic & Pre-montane Chaparral,10,FALSE,,,,,
,,,Californian mesic chaparral,3,FALSE,,,,,
,,,Californian Mixed Annual/Perennial Freshwater Vernal Pool / Swale Bottomland,9,FALSE,,,,,
,,,Californian mixed annual/perennial freshwater vernal pool/swale bottomland,1,FALSE,,,,,
,,,Californian montane conifer forest,3,FALSE,,,,,
,,,Californian Scrub & Grassland,4,FALSE,,,,,
,,,Californian Vernal Pool,7,FALSE,,,,,
,,,Californian warm temperate marsh/seep,63,FALSE,,,,,
,,,Californian Xeric Chaparral,8,FALSE,,,,,
,,,Central & Southern Californian Coastal Sage Scrub,19,FALSE,,,,,
,,,Central and south coastal California seral scrub,14,FALSE,,,,,
,,,Central California Coast Ranges cliff and canyon Group,2,FALSE,,,,,
,,,Cliffs & Rock Outcroppings Mapping Unit,2,FALSE,,,,,
,,,Cliffs & Rock Outcroppings Mapping Unit,1,FALSE,,,,,
,,,Intermountain Big Sagebrush Steppe & Shrubland,4,FALSE,,,,,
,,,Introduced North American Mediterranean woodland and forest,9,FALSE,,,,,
,,,Introduced North American Mediterranean woodland and forest Macrogroup,2,FALSE,,,,,
,,,Lithomorphic Vegetation (Nonvascular and Sparse Vascular Rock Vegetation),62,FALSE,,,,,
,,,Mediterranean California naturalized annual & perennial grassland,1,FALSE,,,,,
,,,Mediterranean California naturalized annual and perennial grassland,209,FALSE,,,,,
,,,Mediterranean California Naturalized Annual and Perennial Grassland Group,13,FALSE,,,,,
,,,Mesomorphic Shrub and Herb Vegetation (Shrubland and Grassland),20,FALSE,,,,,
,,,Mojavean semi-desert wash scrub,1,FALSE,,,,,
,,,Naturalized Non-Native Mediterranean Scrub Group,1,FALSE,,,,,
,,,Naturalized warm-temperate riparian and wetland,5,FALSE,,,,,
,,,North American Desert Alkaline-Saline Marsh & Playa,3,FALSE,,,,,
,,,North American warm desert bedrock cliff and outcrop,8,FALSE,,,,,
,,,North American Warm Desert Riparian Low Bosque & Shrubland,16,FALSE,,,,,
,,,"North American Warm Semi-Desert Cliff, Scree, and Other Rock Vegetation",3,FALSE,,,,,
,,,Oregon-Washington-British Columbia Vernal Pool Group,7,FALSE,,,,,
,,,Playa,2,FALSE,,,,,
,,,Rocky Mountain Acidic Fen Group,2,FALSE,,,,,
,,,Rocky Mountain-North Pacific Subalpine-Montane Mesic Grassland & Meadow Group,2,FALSE,,,,,
,,,Rocky Mountain-Sierran Alpine Turf & Fell-field Group,3,FALSE,,,,,
,,,Sierra Nevada cliff and canyon,21,FALSE,,,,,
,,,Sonoran-Coloradan semi-desert wash woodland/scrub,1,FALSE,,,,,
,,,Southern Vancouverian montane deciduous scrub,1,FALSE,,,,,
,,,Southwestern North American alkali marsh/seep vegetation,15,FALSE,,,,,
,,,Southwestern North American riparian evergreen and deciduous woodland,2,FALSE,,,,,
,,,"Southwestern North American Riparian, Flooded and Swamp Forest",2,FALSE,,,,,
,,,"Southwestern North American Riparian, Flooded and Swamp Forest/Scrubland",53,FALSE,,,,,
,,,Southwestern North American salt basin and high marsh,1,FALSE,,,,,
,,,Sparsely Vegetated to Non-vegetated Stream Beds and Flats Mapping Unit,1,FALSE,,,,,
,,,Temperate Pacific Freshwater Wet Mudflat and Floodplain Group,1,FALSE,,,,,
,,,Temperate Pacific tidal salt and brackish meadow,1,FALSE,,,,,
,,,Unconsolidated Natural Bare Areas Landform,3,FALSE,,,,,
,,,"Vancouverian – Rocky Mountain Montane Wet Meadow and Marsh Group",1,FALSE,,,,,
,,,Vancouverian – Rocky Mountain Montane Wet Meadow & Marsh,3,FALSE,,,,,
,,,Vancouverian – Rocky Mountain Montane Wet Meadow and Marsh Group,8,FALSE,,,,,
,,,"Vancouverian Alpine Scrub, Forb Meadow, and Grassland",6,FALSE,,,,,
,,,Vancouverian and Rocky Mountain naturalized perennial grassland,25,FALSE,,,,,
,,,Vancouverian coastal deciduous scrub,2,FALSE,,,,,
,,,Vancouverian Coastal Grassland,1,FALSE,,,,,
,,,Vancouverian Coastal/Tidal Marsh and Meadow,2,FALSE,,,,,
,,,Vancouverian-Rocky Mountain Montane Wet Meadow & Marsh Group,21,FALSE,,,,,
,,,Western Cordilleran montane deciduous scrub,1,FALSE,,,,,
,,,Western Cordilleran montane moist graminoid meadow,3,FALSE,,,,,
,,,Western Cordilleran montane sclerophyll scrub,36,FALSE,,,,,
,,,Western cordilleran montane-boreal mesic wet meadow,20,FALSE,,,,,
,,,Western Cordilleran montane-boreal summer-drying wet meadow,70,FALSE,,,,,
,,,Western Interior Riparian Forest & Woodland,9,FALSE,,,,,
,,,"Western North America Alpine Scrub, Forb Meadow, and Grassland",22,FALSE,,,,,
,,,Western North America Vernal Pool,1,FALSE,,,,,
,,,"Western North American Cliff, Scree & Rock Vegetation Macrogroup",6,FALSE,,,,,
,,,Western North American Cool/Montane Sclerophyllous Evergreen Scrub,7,FALSE,,,,,
,,,Western North American montane–subalpine riparian scrub,92,FALSE,,,,,
,,,"Western North American Ruderal Marsh, Wet Meadow & Shrubland Group",6,FALSE,,,,,
,,,"Western North American Ruderal Marsh, Wet Meadow and Shrubland Group",1,FALSE,,,,,
,,,Western North American Temperate Freshwater Aquatic Vegetation,1,FALSE,,,,,
,,,Xeromorphic Scrub and Herb Vegetation (Semi-Desert),18,FALSE,,,,,
,,G496,Californian Perennial Grassland group,1,FALSE,,,,,
,,G497,"Californian Ruderal Grassland, Meadow & Scrub Group",2,FALSE,,,,,
,,G499,Temperate Pacific Salt Marsh Group,4,FALSE,,,,,
,,G517,Vancouverian Freshwater Wet Meadow & Marsh Group,3,FALSE,,,,,
,,G524,"Western North American Ruderal Marsh, Wet Meadow & Shrubland Group",1,FALSE,,,,,
,,G530,Californian Vernal Pool Group,1,FALSE,,,,,
,,G544,Western North American Temperate Freshwater Aquatic Vegetation group,1,FALSE,,,,,
,,G766,Californian Annual Grassland & Forb Meadow Group,15,FALSE,,,,,
,,M045,Californian Annual & Perennial Grassland Macrogroup,5,FALSE,,,,,
,,n/a,California Annual and Perennial Grassland,36,FALSE,,,,,
,,n/a,California annual herb/grass,20,FALSE,,,,,
,,n/a,Intermontane deep or well-drained soil scrub,5,FALSE,,,,,
,,n/a,Lower Bajada and Fan Mojavean–Sonoran desert scrub,3,FALSE,,,,,
,,n/a,Madrean Warm Semi-Desert Wash Woodland/Scrub,49,FALSE,,,,,
,,n/a,Mediterranean California naturalized annual and perennial grassland,51,FALSE,,,,,
,,n/a,North American Desert Alkaline-Saline Marsh & Playa,50,FALSE,,,,,
,,n/a,North American warm desert bedrock cliff and outcrop,74,FALSE,,,,,
,,n/a,North American warm desert dunes and sand flats,4,FALSE,,,,,
,,n/a,Western North American Freshwater Marsh,5,FALSE,,,,,
,,n/a,Western North American Temperate Freshwater Aquatic Vegetation,1,FALSE,,,,,
,,NA,"Californian Cliff, Scree & Rock Vegetation Group",3,FALSE,,,,,
,,na,"G497 Californian Ruderal Grassland, Meadow & Scrub",1,FALSE,,,,,
,Arid West Interior Freshwater Marsh group,G531,,1,FALSE,,,,,
,Baccharis sarothroides,,,10,FALSE,,,,,
,Californian Coastal-Foothill Seral Scrub group,G782,,2,FALSE,,,,,
,Californian Vernal Pool group,G530,,3,FALSE,,,,,
,Ceanothus verrucosus,,,8,FALSE,37.216.00,,,,
,Eriodictyon californicum / Herbaceous,35.080.01,,5,FALSE,,,,,
,Glebionis coronarium,,,2,FALSE,,,,,
,Hymenoclea monogyra,,,3,FALSE,,,,,
,Juncus acutus – Jaumea carnosa,,,7,FALSE,,,,,
,Lupinus albifrons,32.081.01,,4,FALSE,,,,,
,North-Central Pacific Lowland Riparian Forest group,G851,,1,FALSE,,,,,
,Pinus ponderosa – (Pinus lambertiana) / Bromus tectorum,,,4,FALSE,,,,,
,Pseudotsuga macrocarpa – Quercus chrysolepis,82.100.02,,34,FALSE,,,,,
,Pseudotsuga macrocarpa – Quercus chrysolepis – Acer macrophyllum,82.100.03,,4,FALSE,,,,,
,Psoralea lanceolata Unique Stand,,,1,FALSE,,,,,
,Quercus dumosa,,,12,FALSE,37.416.05,,,,
,Rhamnus crocea,,,5,FALSE,37.912.03,,,,
,Southern Vancouverian Lowland Ruderal Grassland & Shrubland Group,G648,,1,FALSE,,,,,
,Spiraea splendens Special stand,,,1,FALSE,,,,,
,Sporobolus cryptandrus,,,1,FALSE,,,,,
,Temperate Pacific Freshwater Wet Mudflat group,G525,,4,FALSE,,,,,
,Temperate Pacific Salt Marsh group,G499,,5,FALSE,,,,,
,Vancouverian Freshwater Wet Meadow & Marsh Group,G517,,3,FALSE,,,,,
,"Western North American Ruderal Marsh, Wet Meadow & Shrubland Group",G524,,2,FALSE,,,,,
,,,Arid West Freshwater Marsh,2,FALSE,,,,,
Abies concolor,,88.500.00,,46,FALSE,,,,,
Abies concolor,Abies concolor  / Ceanothus prostratus,88.500.67,,5,FALSE,,,,,
Abies concolor,Abies concolor  / Symphoricarpos mollis,88.500.35,,6,FALSE,,,,,
Abies concolor,Abies concolor – Calocedrus decurrens – Quercus kelloggii,88.500.29,,2,FALSE,,,,,
Abies concolor,Abies concolor – Pinus ponderosa / Cercocarpus ledifolius,88.500.68,,19,FALSE,,,,,
Abies concolor,Abies concolor / Ceanothus velutinus,88.500.58,,6,FALSE,,,,,
Abies concolor,Abies concolor / Chimaphila spp. – Pyrola picta,88.500.69,,11,FALSE,,,,,
Abies concolor – Pinus lambertiana,,88.510.00,,45,FALSE,,,,,
Abies concolor – Pinus lambertiana,Abies concolor – Pinus lambertiana,88.510.01,,6,FALSE,,,,,
Abies concolor – Pinus lambertiana,Abies concolor – Pinus lambertiana – Calocedrus decurrens / Symphoricarpos mollis / Kelloggia galioides,88.510.08,,4,FALSE,,,,,
Abies concolor – Pinus lambertiana,Abies concolor – Pinus lambertiana – Pinus jeffreyi,88.510.04,,25,FALSE,,,,,
Abies concolor – Pinus lambertiana,Abies concolor – Pinus lambertiana – Pseudotsuga menziesii / Carex rossii,88.510.14,,5,FALSE,,,,,
Abies concolor – Pinus lambertiana,Abies concolor – Pseudotsuga menziesii – Pinus lambertiana / Carex rossii,88.510.14,,1,FALSE,,,,,
Abies concolor – Pseudotsuga menziesii,,88.530.00,,5,FALSE,,,,,
Abies concolor – Pseudotsuga menziesii,,88.530.39,,2,FALSE,,,,,
Abies concolor – Pseudotsuga menziesii,Abies concolor – Pseudotsuga menziesii – Calocedrus decurrens,88.530.30,,3,FALSE,,,,,
Alnus rhombifolia,Calocedrus decurrens – Alnus rhombifolia,85.100.03,,2,FALSE,,,,,
Alnus rubra,Alnus rubra / Rubus spectabilis – Sambucus racemosa,61.410.06,,5,FALSE,,,,,
Alnus rubra,Alnus rubra / Rubus spp.,61.410.09,,13,TRUE,,,,Split,"61.410.06, 61.410.05"
Alnus rubra,Alnus rubra / Salix lasiolepis – Rubus spp.,61.410.05,,1,FALSE,,,,,
Alnus rubra,Alnus rubra / Salix lasiolepis / Rubus spp.,61.410.05,,12,FALSE,,,,,
Ambrosia dumosa,,33.060.00,,193,FALSE,,,,,
Ambrosia dumosa,Ambrosia dumosa,33.060.02,,32,FALSE,,,,,
Ambrosia dumosa,Ambrosia dumosa – Acamptopappus sphaerocephalus,33.060.01,,5,FALSE,,,,,
Ambrosia dumosa,Ambrosia dumosa – Ephedra aspera,,,16,FALSE,,,,,
Ambrosia psilostachya,,33.065.00,,1,TRUE,,,,Lumped,42.205.00
Ambrosia salsola,,33.200.00,,9,FALSE,,,,,
Ambrosia salsola,Ambrosia salsola – Eriogonum fasciculatum,33.200.02,,2,FALSE,,,,,
Ambrosia salsola – Bebbia juncea,,33.200.00,,132,FALSE,,,,,
Ambrosia salsola – Bebbia juncea,Ambrosia eriocentra – Brickellia spp.,33.200.12,,2,FALSE,,,,,
Ambrosia salsola – Bebbia juncea,Ambrosia salsola,33.200.01,,69,FALSE,,,,,
Ambrosia salsola – Bebbia juncea,Ambrosia salsola – (Ambrosia eriocentra – Brickellia incana),33.200.06,,14,FALSE,,,,,
Ambrosia salsola – Bebbia juncea,Ambrosia salsola – Eriogonum fasciculatum,33.200.02,,9,FALSE,,,,,
